Match Flag	Item ID	Item Number	Item Description 1	Item Description 2	Branch Plant	Stocking Type	Division	Part Type	Div by Part Type	ItemID	ItemNumber	ThirdItemNumber	Description1	Description2	BranchPlant	Plant	BranchPlant_Desc	Company	StockingType	StockingType_Desc	Part_Type	ProductGroup	ProductGroup_Desc	ProductFamily	ProductFamily_Desc	ProductCode	ProductCode_Desc	CatCode4	CatCode4_Desc	CatCode6	CatCode6_Desc	CatCode7	CatCode7_Desc	CatCode8	CatCode8_Desc	CatCode9	CatCode9_Desc	ItemCatCode7	ItemCatCode7_Desc	ItemCatCode9	ItemCatCode9_Desc	CommodityClass	CommodityClass_Desc	CommoditySubclass	CommoditySubClass_Desc	PrimaryLastSupplierNumber	PlannerNumber	BuyerNumber	LineType	Product_Type	Product_Type_Desc	CrossRefType	CustomerSupplierItemNumber
3	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B010	J	MPD	Intermediates	MPDIntermediates	10337183	10337183	10337183	"600338-120 KAPTON 200HN 6.5"""		B055	ME	Medical East B/P	8	L	Expensed-Other Supplies	Indirect Purchased									MMC	Medical MFG Components	PP058	AAA				.		.		.	807	MPD FILM			4132	16389442	16389442	S	END	Endovascular		
3	10102993	10102993	SHAFT AIR LOG STYLE	"38"" LONG"	B020	A	FAB	Indirect Purchased	FABIndirect Purchased	10102993	10102993	10102993	SHAFT AIR LOG STYLE	"38"" LONG"	B020	EM5	Elk Mills V B/P	11	A	Critical Spares	Indirect Purchased										.		.				.		.		.					11036626	0	10798	S				
3	10234959	10234959	MDR WIRE MANAGEMENT BLOCK	549000078 REV B	B003	P	EPD	Direct Purchased	EPDDirect Purchased	10234959	10234959	549000078	MDR WIRE MANAGEMENT BLOCK	549000078 REV B	B003	NG	New Garden 1 B/P	3	P	"Purchased, Raw material"	Direct Purchased	A17	Advanced Cable Solutions	ADS	Semi-Conductor	CEG	Cable Assembly	B07	NG ACS Assembly		.		.				.		.		.	M09	"Machined parts, other"	P04	Plastic	11007073	10532	10532	S				
3	10433128	10433128	"SOLDER PREFORM .015 x .068"""	KESTER Sn63 RMA 285-58	B003	P	EPD	Direct Purchased	EPDDirect Purchased	10433128	10433128	10433128	"SOLDER PREFORM .015 x .068"""	KESTER Sn63 RMA 285-58	B003	NG	New Garden 1 B/P	3	P	"Purchased, Raw material"	Direct Purchased	A11	GMCA	ADE	GMCA - Global			B24	GMCA SUPPLY CHAIN PLATFORM		.		.				.		.		.	S80	Solder	P20	Preform	11065767	17088348	12283	S				
3	10113675	10113675	EYE MAG. X10 MITUTOYO	RS 432-435	B084	Z	EPD	Indirect Purchased	EPDIndirect Purchased	10113675	10113675	RS 432-435	EYE MAG. X10 MITUTOYO	RS 432-435	B084	DUN	Tech Park UK EPD B/P	300	Z	Purchase ext-other supplies	Indirect Purchased	A11	GMCA	ADE	GMCA - Global	AD8	GMCA General				.		.				.		.		.	T31	"Tools, Hand"			12269988	18119666	18119666	S				
3	10112974	10107182T1	GSC-01-22756-00 Rev.H Teil 1	Teil 1 v 1	B038	M	EPD	Intermediates	EPDIntermediates	10112974	10107182T1	10107182T1	GSC-01-22756-00 Rev.H Teil 1	Teil 1 v 1	B038	PLF	Pleinfeld B/P	350	M	Mfg. Assembly or Sub-Assembly	Intermediates	A17	Advanced Cable Solutions	ADR	Lithography	CDB	Round Cable Extruded Primaries				.		.			AK	POV Rev. K		.		.					0	17056	0	W				
3	10238413	EXF4335005	FARBKONZENTRAT ETFE SIGNALBLAU	"RAL5005, CC0105940170"	B038	P	EPD	Direct Purchased	EPDDirect Purchased	10238413	EXF4335005	EXF4335005	FARBKONZENTRAT ETFE SIGNALBLAU	"RAL5005, CC0105940170"	B038	PLF	Pleinfeld B/P	350	P	"Purchased, Raw material"	Direct Purchased	A17	Advanced Cable Solutions	ADR	Lithography	CDB	Round Cable Extruded Primaries				.		.	A3206A	Colorants		.		.		.	P21	"Plastics, granulat (extrusion)"	F00	FEP (Fluorethylenpropylen)	16768262	33547	19793	S				
3	10456022	10456022	PCUT F6L		B008	M	MPD	Intermediates	MPDIntermediates	10456022	10456022	10456022	PCUT F6L		B008	MW	Medical West B/P	8	M	Mfg. Assembly or Sub-Assembly	Intermediates					P94	Acuseal Grafts			MMC	Medical MFG Components	PP098	Acuseal Grafts				.		.		.					0	16316384	0	S	PER	Peripheral		
3	10066500	FFTL045000	FIRE-TAPE-LINER 2L		B020	J	FAB	Intermediates	FABIntermediates	10066500	FFTL045000	19945JT	FIRE-TAPE-LINER 2L		B020	EM5	Elk Mills V B/P	11	J	Intermediate Goods-Receive Plt	Intermediates	F01	GORE-TEX® Products			F17	Laminated Fabrics	F16	TOF-GORE-TEX® Heat&Flame Garm.		.		.	FFTL01	FIRE-TAPE-LINER	F20L	2 LAYER		.	F20L	2 LAYER					4087	15387	15387	S				
3	10066500	FFTL045000	FIRE-TAPE-LINER 2L		B020	J	FAB	Intermediates	FABIntermediates	10066500	FFTL045000	19945JT	FIRE-TAPE-LINER 2L		B043	PU3	Putzbrunn III B/P	350	S	"Finished Goods, Manufactured"	Finished Goods	F01	GORE-TEX® Products			F17	Laminated Fabrics	F16	TOF-GORE-TEX® Heat&Flame Garm.		.		.	FFTL01	FIRE-TAPE-LINER	F20L	2 LAYER		.	F20L	2 LAYER					4087	23150	23150	W				
3	10451044	10451044	CFM STRAIN RELIEF 5185-4983	AMPLIFIER END	B003	Z	EPD	Indirect Purchased	EPDIndirect Purchased	10451044	10451044	10451044	CFM STRAIN RELIEF 5185-4983	AMPLIFIER END	B003	NG	New Garden 1 B/P	3	Z	Purchase ext-other supplies	Indirect Purchased	A11	GMCA	ADE	GMCA - Global			B24	GMCA SUPPLY CHAIN PLATFORM		.		.				.		.		.	C60	Customer Supplied			17065407	12224	12224	CP			VN	5185-4983
3	10449929	10449929	"CCA Wire 2,74mm SP, soft"	ES-10449929 Rev.E	B038	P	EPD	Direct Purchased	EPDDirect Purchased	10449929	10449929	10449929	"CCA Wire 2,74mm SP, soft"	ES-10449929 Rev.E	B038	PLF	Pleinfeld B/P	350	P	"Purchased, Raw material"	Direct Purchased	A17	Advanced Cable Solutions	AEF	Civil-Air	AK5	Coax Radiating Assembly				.		.				.		.		.	C22	"Conductor, round"	O00	Future use purchasing	12311603	17282	19793	S				
3	10453466	AB0101-EN4	BROCHURE PERFECT CLOSE SUTURE		B272	Z	MPD	Indirect Purchased	MPDIndirect Purchased	10453466	AB0101-EN4	AB0101-EN4	BROCHURE PERFECT CLOSE SUTURE		B272	APC	MPD APC DEMO/MARKETING B/P	8	Z	Purchase ext-other supplies	Indirect Purchased									MSM	Medical Sales & Demo Materials		.	P4911A	"Brochure, flyer, item list"		.		.		.	A00	Advertising media			12223044	12308926	12255802	S				
3	10442176	FA2775-080	HP BRAID PU 80 IN		B197	S	MPD	Finished Goods	MPDFinished Goods	10442176	FA2775-080	FA2775-080	HP BRAID PU 80 IN		B197	JS	Medical - Jersey Shore B/P	8	S	"Finished Goods, Manufactured"	Finished Goods	MB5	GMP	MRX	GMP	NR9	HPBT - JS	NS1	HPBT - JS	MFZ	MPD No CPD	PP073	Jersey Shore	M3917I	Flex plastic tube other braid	MS09	Jersey Shore	PP073	Jersey Shore	MS09	Jersey Shore					0	33228	0	W	DSP	DHP		
3	10464574	10464574	SHKTB 15MM ID HEAT SHRINK	NON-SLIP W/ ADHESIVE BLACK	B204	P	EPD	Direct Purchased	EPDDirect Purchased	10464574	10464574	10464574	SHKTB 15MM ID HEAT SHRINK	NON-SLIP W/ ADHESIVE BLACK	B204	SHZ	Shenzhen EPD B/P	648	P	"Purchased, Raw material"	Direct Purchased	A11	GMCA	AEB	Test Microwave	AD6	GMCA PHASEFLEX	B24	GMCA SUPPLY CHAIN PLATFORM		.		.	A3926T	Heat shrink plastic tubing		.		.		.	T40	"Tubing, Shrink"			4077	26657	34046	S			VN	NHST-A-15MM-BLK
3	10464574	10464574	SHKTB 15MM ID HEAT SHRINK	NON-SLIP W/ ADHESIVE BLACK	B204	P	EPD	Direct Purchased	EPDDirect Purchased	10464574	10464574	10464574	SHKTB 15MM ID HEAT SHRINK	NON-SLIP W/ ADHESIVE BLACK	B003	NG	New Garden 1 B/P	3	P	"Purchased, Raw material"	Direct Purchased	A11	GMCA	ADE	GMCA - Global			B24	GMCA SUPPLY CHAIN PLATFORM		.		.	A3926T	Heat shrink plastic tubing		.		.		.	T40	"Tubing, Shrink"			12315211	12224	12224	S			VN	NHST-A-15MM-BLK
3	10462788	10462788	28ZLK DEGOLDING PLUG	203000183-1 REV A	B003	Z	EPD	Indirect Purchased	EPDIndirect Purchased	10462788	10462788	203000183-1	28ZLK DEGOLDING PLUG	203000183-1 REV A	B003	NG	New Garden 1 B/P	3	Z	Purchase ext-other supplies	Indirect Purchased	A11	GMCA	ADE	GMCA - Global			B24	GMCA SUPPLY CHAIN PLATFORM		.		.				.		.		.	P26	"Plastics, Machined"			12015004	12224	12224	S				
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	FP	Medical Fisher Point B/P	8	S	"Finished Goods, Manufactured"	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					0	16316384	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B333	PX3	MPD 3PL - Distribution	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4219	16316384	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B128	FP	MPD FLAG Restrict FG Items B/P	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	16316384	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B283	PH1	MPD PHX Raw Materials B/P	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	11289555	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B114	FP	Medical Consignment B/P	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	11289555	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B115	FP	Medical Returned Product B/P	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	16316384	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B273	CAN	MPD Canada Consignment B/P	260	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	11289555	12314856	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B334	PX3	MPD 3PL - Restricted	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	16316384	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B335	PX3	MPD 3PL - Returns	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4344	16316384	0	S	PER	Peripheral		
3	10461575	IRH061020A	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B261	S	MPD	Finished Goods	MPDFinished Goods	10461575	IRH061020A	7.33E+11	HEP IR 6MM 10CM RS X 20CM US	PVG WITH INTEGRATED RINGS	B336	PX3	MPD 3PL - Disaster Recovery	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP7	PROPATEN VG	NY8	PROPATEN VG - ACCESS	MFS	Medical Standard Finished Gds	PP056	PROPATEN	N9021A	Implantable devices	MS12	PERIPHERAL	PP056	PROPATEN	MS12	PERIPHERAL					4219	16316384	0	S	PER	Peripheral		
3	10462560	L8325-42	Laminated R8325 + 10953788	PTFE felt	B005	M	IPD	Intermediates	IPDIntermediates	10462560	L8325-42	L8325-42	Laminated R8325 + 10953788	PTFE felt	B005	FH	Fair Hill B/P	5	M	Mfg. Assembly or Sub-Assembly	Intermediates	JAM	Filtration Technologies	IAA	Gore Filtration Products	IAM	Industrial Dry Filtration	KTD	Roll Good	J8325	745 g GORE PTFE felt		.	I5911H	Filtration Fabric	J8383	19oz Gore-Tex® Felt		.	J8383	19oz Gore-Tex® Felt					0	12026	0	S				
3	10460837	10460837	1st DEPLOYMENT KNOB ASSEMBLY		B283	P	MPD	Direct Purchased	MPDDirect Purchased	10460837	10460837	10460837	1st DEPLOYMENT KNOB ASSEMBLY		B280	PH2	Medical Phoenix 2  B/P	8	P	"Purchased, Raw material"	Direct Purchased									MPM	Medical Purchased Materials		.				.		.		.	P23	"Plastics, moulded parts"			4245	11289558	18116011	S				
3	10460837	10460837	1st DEPLOYMENT KNOB ASSEMBLY		B283	P	MPD	Direct Purchased	MPDDirect Purchased	10460837	10460837	10460837	1st DEPLOYMENT KNOB ASSEMBLY		B011	WS	Medical Woody Springs B/P	8	P	"Purchased, Raw material"	Direct Purchased									MPM	Medical Purchased Materials		.				.		.		.	P23	"Plastics, moulded parts"			4245	12135550	16326776	S				
3	10460837	10460837	1st DEPLOYMENT KNOB ASSEMBLY		B283	P	MPD	Direct Purchased	MPDDirect Purchased	10460837	10460837	10460837	1st DEPLOYMENT KNOB ASSEMBLY		B283	PH1	MPD PHX Raw Materials B/P	8	P	"Purchased, Raw material"	Direct Purchased									MPM	Medical Purchased Materials		.				.		.		.					12217496	11097	11097	S				
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B333	PX3	MPD 3PL - Distribution	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					4054	16316384	0	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B291	PU2	Austria MPD B/P	350	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					8	11289555	0	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B164	BEL	Belgium MPD B/P	365	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					8	11289555	0	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B181	CEW	MPD Holland Returns B/P	8	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					4344	11289555	0	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B196	SIN	Singapore MPD Consignment B/P	625	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					0	11289555	0	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B250	SWE	Norway MPD B/P	390	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					0	11289555	0	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B269	CTC	MPD China Trading BP Duty Free	647	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					4344	11289555	12314856	S	PER	Peripheral		
3	10009228	ST0605	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B042	G	MPD	Finished Goods	MPDFinished Goods	10009228	ST0605	7.33E+11	STRETCH THIN WALL 6MM X 50CM	GORE-TEX STRETCH GRAFT	B270	CTC	MPD China B/P	647	G	Purch from Gore for Resale	Finished Goods	MC1	VASCULAR	MRU	SMALL DIAMETER ARTERIAL APPS	NP4	LEGACY VG	NY6	LEGACY VG - LOWER LIMB	MFS	Medical Standard Finished Gds	PP046	STRETCH SM DIAMETER	N9021A	Implantable devices	MS12	PERIPHERAL	PP046	STRETCH SM DIAMETER	MS12	PERIPHERAL					4344	11289555	12314856	S	PER	Peripheral		
